,tweet
81,"['viru', 'spread', 'outbreaksif', 'erupt', 'largeit', 'becom', 'distincteach', 'outbreak', 'gener', 'specif', 'strain', 'virusth', 'proport', 'shown', 'second', 'graphgreen', 'color', 'areprimari', 'schoolsthey', 'closs', 'last', 'year', 'slovenia', 'covid19', 'coronahttp', 'co', 'nurxgdue8z']"
82,"['', 'coronaviru', 'covid19', 'covid_19', 'sarscov', 'covid19worldlast', 'updateddecemb', '15202110', '2gmtcovid', '19', 'coronaviru', 'pandemichttp', 'co', '3kxss9up6f']"
83,"['', 'covid19la', 'quasi', 'totalitd', 'lit', 'de', 'réanim', 'de', 'hospic', 'civil', 'de', 'lyon', 'occupé', 'chudelyonhttp', 'co', '7vxfwetu39', 'via', 'actufr']"
84,"['', 'novisad', 'covid19', 'http', 'co', '8bbvevg9yh']"
85,"['', 'p_mcculloughmd', 'covid19', 'covid19ab', 'hydroxychloroquin', 'wait', 'see', 'whether', 'omicroni', 'dangerousit', 'would', 'far', 'latehydroxychloroquin', 'nopetti', 'nope', 'nope', 'omicronviru', 'vaccinepassport']"
86,"['', 'convid', 'covid19http', 'co', 'o1udotgxpm']"
87,"['economistsjudiciari', 'slam', 'gloss', 'covid19', 'abusehttp', 'co', 'd7dr9sg5jn']"
88,"['know', 'vaccin', 'spread', 'covid19', 'reason', 'get', 'vaccin', '']"
89,"['insan', 'psychosi', 'covid19']"
90,"['issu', 'intairport', 'featur', 'articl', 'rang', 'topic', 'includ', 'digitaltransform', 'sustainableairport', 'routedevelop', 'airport', 'recoveri', 'covid19http', 'co', '3pbfaune0fhttp', 'co', 'y1ah3wbrx5']"
91,"['benchmaharashtraandhra', 'pradeshadvertis', 'must', 'full', 'particular', 'givennot', 'one', 'two', 'line', 'supremecourt', 'covid19']"
92,"['new', 'covid', '19', 'data', '2021', '12', '105', '30', '00', 'est', 'coronaviru', 'covid19', 'covid_19http', 'co', 'ysdsvirzi']"
